country,gender,dau,mau,age_group,group_id
AG,1,713,1000,1,6002960574320
AG,1,1845,2400,2,6002960574320
AG,1,1515,1800,3,6002960574320
AG,1,915,1100,4,6002960574320
AG,1,599,1000,5,6002960574320
AG,1,664,1000,6,6002960574320
AG,2,928,1000,1,6002960574320
AG,2,2449,2800,2,6002960574320
AG,2,2375,2700,3,6002960574320
AG,2,1568,1700,4,6002960574320
AG,2,874,1000,5,6002960574320
AG,2,997,1000,6,6002960574320
AR,1,244180,290000,1,6002960574320
AR,1,897067,1000000,2,6002960574320
AR,1,684025,770000,3,6002960574320
AR,1,420636,480000,4,6002960574320
AR,1,196848,230000,5,6002960574320
AR,1,124562,150000,6,6002960574320
AR,2,281108,320000,1,6002960574320
AR,2,903801,990000,2,6002960574320
AR,2,746060,820000,3,6002960574320
AR,2,536080,590000,4,6002960574320
AR,2,306453,340000,5,6002960574320
AR,2,267033,300000,6,6002960574320
BB,1,1688,1900,1,6002960574320
BB,1,5690,6200,2,6002960574320
BB,1,3699,4100,3,6002960574320
BB,1,2169,2800,4,6002960574320
BB,1,1609,1800,5,6002960574320
BB,1,1099,1100,6,6002960574320
BB,2,2249,2400,1,6002960574320
BB,2,7309,7400,2,6002960574320
BB,2,5256,5900,3,6002960574320
BB,2,3875,4400,4,6002960574320
BB,2,2130,2700,5,6002960574320
BB,2,1476,1600,6,6002960574320
BO,1,145519,180000,1,6002960574320
BO,1,293303,350000,2,6002960574320
BO,1,151716,180000,3,6002960574320
BO,1,57800,72000,4,6002960574320
BO,1,23040,28000,5,6002960574320
BO,1,14182,17000,6,6002960574320
BO,2,90042,110000,1,6002960574320
BO,2,196947,230000,2,6002960574320
BO,2,103607,120000,3,6002960574320
BO,2,44396,52000,4,6002960574320
BO,2,19399,23000,5,6002960574320
BO,2,10511,12000,6,6002960574320
BR,1,1554973,1900000,1,6002960574320
BR,1,4535959,5200000,2,6002960574320
BR,1,3293903,3800000,3,6002960574320
BR,1,1936621,2300000,4,6002960574320
BR,1,995731,1200000,5,6002960574320
BR,1,560687,700000,6,6002960574320
BR,2,1698337,2000000,1,6002960574320
BR,2,4419211,4900000,2,6002960574320
BR,2,3784278,4200000,3,6002960574320
BR,2,2588930,2900000,4,6002960574320
BR,2,1682909,1900000,5,6002960574320
BR,2,1037591,1200000,6,6002960574320
BS,1,1930,2000,1,6002960574320
BS,1,7138,8100,2,6002960574320
BS,1,4285,5000,3,6002960574320
BS,1,2180,2700,4,6002960574320
BS,1,1070,1300,5,6002960574320
BS,1,749,1000,6,6002960574320
BS,2,3142,3300,1,6002960574320
BS,2,9813,11000,2,6002960574320
BS,2,5616,6300,3,6002960574320
BS,2,3990,4400,4,6002960574320
BS,2,2151,2600,5,6002960574320
BS,2,1137,1300,6,6002960574320
BZ,1,4885,6000,1,6002960574320
BZ,1,9271,11000,2,6002960574320
BZ,1,5392,6100,3,6002960574320
BZ,1,2555,3000,4,6002960574320
BZ,1,1119,1400,5,6002960574320
BZ,1,726,1000,6,6002960574320
BZ,2,4177,4700,1,6002960574320
BZ,2,10033,11000,2,6002960574320
BZ,2,7804,8200,3,6002960574320
BZ,2,4114,4500,4,6002960574320
BZ,2,1999,2000,5,6002960574320
BZ,2,879,1100,6,6002960574320
CL,1,109478,120000,1,6002960574320
CL,1,509690,540000,2,6002960574320
CL,1,327454,350000,3,6002960574320
CL,1,180226,200000,4,6002960574320
CL,1,83553,97000,5,6002960574320
CL,1,46658,58000,6,6002960574320
CL,2,112951,120000,1,6002960574320
CL,2,399424,420000,2,6002960574320
CL,2,274102,290000,3,6002960574320
CL,2,176899,190000,4,6002960574320
CL,2,99471,110000,5,6002960574320
CL,2,63837,74000,6,6002960574320
CO,1,310645,370000,1,6002960574320
CO,1,873024,990000,2,6002960574320
CO,1,533402,610000,3,6002960574320
CO,1,262705,310000,4,6002960574320
CO,1,121302,150000,5,6002960574320
CO,1,68351,86000,6,6002960574320
CO,2,291843,340000,1,6002960574320
CO,2,695343,770000,2,6002960574320
CO,2,458065,520000,3,6002960574320
CO,2,261356,300000,4,6002960574320
CO,2,135903,160000,5,6002960574320
CO,2,71525,86000,6,6002960574320
CR,1,56775,63000,1,6002960574320
CR,1,168224,180000,2,6002960574320
CR,1,130845,140000,3,6002960574320
CR,1,67394,75000,4,6002960574320
CR,1,33963,41000,5,6002960574320
CR,1,19893,24000,6,6002960574320
CR,2,48291,52000,1,6002960574320
CR,2,149697,160000,2,6002960574320
CR,2,131967,140000,3,6002960574320
CR,2,73732,80000,4,6002960574320
CR,2,46530,52000,5,6002960574320
CR,2,24232,27000,6,6002960574320
DM,1,997,1000,1,6002960574320
DM,1,799,1000,2,6002960574320
DM,1,832,1000,3,6002960574320
DM,1,664,1000,4,6002960574320
DM,1,0,1000,5,6002960574320
DM,1,997,1000,6,6002960574320
DM,2,997,1000,1,6002960574320
DM,2,908,1000,2,6002960574320
DM,2,777,1000,3,6002960574320
DM,2,997,1000,4,6002960574320
DM,2,997,1000,5,6002960574320
DM,2,997,1000,6,6002960574320
DO,1,92491,120000,1,6002960574320
DO,1,264912,320000,2,6002960574320
DO,1,132994,160000,3,6002960574320
DO,1,56115,69000,4,6002960574320
DO,1,22260,29000,5,6002960574320
DO,1,12986,16000,6,6002960574320
DO,2,116249,140000,1,6002960574320
DO,2,306134,350000,2,6002960574320
DO,2,157960,180000,3,6002960574320
DO,2,68094,78000,4,6002960574320
DO,2,31663,37000,5,6002960574320
DO,2,17547,21000,6,6002960574320
EC,1,241831,300000,1,6002960574320
EC,1,588847,700000,2,6002960574320
EC,1,328116,400000,3,6002960574320
EC,1,163755,200000,4,6002960574320
EC,1,62417,78000,5,6002960574320
EC,1,27612,34000,6,6002960574320
EC,2,173548,210000,1,6002960574320
EC,2,360787,420000,2,6002960574320
EC,2,229250,270000,3,6002960574320
EC,2,128299,150000,4,6002960574320
EC,2,54714,67000,5,6002960574320
EC,2,23556,29000,6,6002960574320
GD,1,922,1000,1,6002960574320
GD,1,1820,2200,2,6002960574320
GD,1,1119,1400,3,6002960574320
GD,1,399,1000,4,6002960574320
GD,1,997,1000,5,6002960574320
GD,1,664,1000,6,6002960574320
GD,2,570,1000,1,6002960574320
GD,2,2499,2800,2,6002960574320
GD,2,1529,1700,3,6002960574320
GD,2,832,1000,4,6002960574320
GD,2,997,1000,5,6002960574320
GD,2,332,1000,6,6002960574320
GT,1,199813,260000,1,6002960574320
GT,1,403849,480000,2,6002960574320
GT,1,191014,230000,3,6002960574320
GT,1,75196,90000,4,6002960574320
GT,1,24181,29000,5,6002960574320
GT,1,13957,17000,6,6002960574320
GT,2,117675,150000,1,6002960574320
GT,2,234024,270000,2,6002960574320
GT,2,129001,150000,3,6002960574320
GT,2,63305,71000,4,6002960574320
GT,2,25660,29000,5,6002960574320
GT,2,12763,15000,6,6002960574320
GY,1,8521,11000,1,6002960574320
GY,1,12645,17000,2,6002960574320
GY,1,8366,9400,3,6002960574320
GY,1,4375,5400,4,6002960574320
GY,1,1933,2900,5,6002960574320
GY,1,1416,1700,6,6002960574320
GY,2,9636,12000,1,6002960574320
GY,2,17007,21000,2,6002960574320
GY,2,9729,12000,3,6002960574320
GY,2,6885,8000,4,6002960574320
GY,2,3426,4700,5,6002960574320
GY,2,1788,2300,6,6002960574320
HN,1,84941,110000,1,6002960574320
HN,1,181458,220000,2,6002960574320
HN,1,82948,100000,3,6002960574320
HN,1,32640,39000,4,6002960574320
HN,1,11831,15000,5,6002960574320
HN,1,7742,9700,6,6002960574320
HN,2,78881,100000,1,6002960574320
HN,2,161512,190000,2,6002960574320
HN,2,84735,100000,3,6002960574320
HN,2,37313,43000,4,6002960574320
HN,2,15131,18000,5,6002960574320
